TéhTera
Tavula	Rouge	135	125		42	75	42	75
Tokha	Vert	170	310		86	258	86	258
Tiamù	Jaune	290	80		222	36	222	36
Ticó	Brun	320	250		277	182	270	182

EmTera
Kosa	Jaune	630	70		572	16	572	16
Kita	Vert	530	195		463	126	463	146
Khont-Rolah	Brun	675	260		590	217	555	287
Kiola	Brun	790	145		739	65	739	65

HelTera
Loümu	Rouge	90	645		13	578	13	578
Laçao	Jaune	225	540		163	490	163	490
Lokha	Vert	140	810		65	752	65	752
Loà	Rouge	315	705		240	614	320	624

KhaTera
Milaù	Jaune	500	530		453	483	453	483
Massao	Rouge	560	660		494	614	484	634
Mutaa	Vert	685	490		633	452	633	452
Mokah	Brun	855	615		780	565	795	565
Maÿa	Jaune	725	735		660	692	660	692

EfTera
Fuego	Rouge	955	360		900	306	925	306
Fama	Vert	1090	290		1053	231	1053	231
Finista	Jaune	1185	385		1116	341	1146	331
Fissah	Brun	1075	480		1020	414	1020	414


Kosa	Kiola
Kosa	Kita
Kosa	Khont-Rolah
Kita	Kiola
Kita	Khont-Rolah
Kiola	Khont-Rolah
Kita	Ticó
Tiamù	Ticó
Tavula	Tiamù
Tavula	Tokha
Tokha	Ticó
Tokha	Tiamù
Tavula	Ticó
Ticó	Laçao
Tokha	Laçao
Laçao	Loümu
Loümu	Lokha
Lokha	Laçao
Loümu	Loà
Loà	Laçao
Loà	Milaù
Milaù	Khont-Rolah
Mutaa	Milaù
Milaù	Massao
Massao	Mutaa
Mutaa	Maÿa
Maÿa	Massao
Maÿa	Mokah
Mokah	Mutaa
Mokah	Milaù
Mokah	Fuego
Fuego	Kiola
Fuego	Fama
Fuego	Fissah
Fama	Fissah
Fama	Finista
Finista	Fissah


Tokha	Laçao	Ticó	1
Laçao	Milaù	1
Mutaa	Khont-Rolah	1
Khont-Rolah	Fuego	1
Mokah	Fissah	1
